Protein1	Protein2	Interaction	Prediction
BxATG9_3	pdb6pri	0	0.025
BxCYP33D3_4	pdb6j4i	0	0.067
BxATG16_2	pdb6e4h	0	nan
I4N4M3_9PSED	pdb8s9c	0	nan
BxATG8_3	pdb2lk2	0	0.002
Bx_tlp_1_4	pdb2mk2	1	0.978
BxCYP33C4_2	pdb2kzw	0	0.072
BxATG9_2	pdb2llf	0	0.167
BxPel1_2	pdb2n66	0	0.009
A0A1I7RKM9_BURXY	2kcx	1	0.709
BxATG16_1	pdb1u0u	0	nan
A0A1I7RL98_BURXY	pdb7wcg	0	0
BxATG8_3	pdb6pq2	0	0.003
I0QNA0_9GAMM	pdb5kp0	0	0.009
Bx_Prx_4	pdb7kix	0	0.022
Bx_tlp_1_4	pdb7qcc	1	0.9
BxCYP33C4_1	pdb2m16	0	0.327
A0A7I8X2Z5_BURXY	pdb2kif	0	0.002
Bx_tlp_1_3	pdb2n76	1	0.897
BxCYP33D3_4	pdb2n69	0	0.048
BxATG16	pdb2luz	1	0.97
A0A1I7RL98_BURXY	pdb4lej	0	0
BxCYP33C9_2	pdb2kct	0	0.329
A0A1I7RYC6_BURXY	pdb7qcb	0	0.025
I0QWV1_9GAMM	pdb7c1m	0	nan
Bx_cpl_3_1	pdb6wlf	0	nan
BxCYP33C4_4	pdb6xry	0	0.011
BxCYP33C4_1	pdb2kzw	0	0.115
Bx_Prx_3	pdb2lze	0	0.35
Bx_cpl_3_4	2kyq	1	0.975
SapB3_5	pdb2kt8	0	0.361
I0QNP5_9GAMM	pdb3sdv	0	0.02
A0A1I7RYC6_BURXY	pdb7c1m	0	nan
BxCYP33D3_4	pdb7c1m	0	nan
BxATG1_5	pdb2n3k	0	0.087
Bx_Prx_3	pdb2n75	0	0.266
Bx_tlp_1_5	pdb2nbn	1	0.904
BxATG8_2	pdb3sdr	0	0.019
cyp_33C9_2	pdb2lfi	1	0.904
BxATG8_1	pdb6iwj	0	nan
Bx_tlp_1_4	pdb2kl3	1	0.908
SapB3_4	pdb3s9v	0	nan
Bx_cpl_1_3	pdb2lcg	0	0.001
BxATG9_2	pdb3s9v	0	nan
Bx_cpl_2_3	pdb2l8v	0	0.298
SapB3_4	pdb2l09	0	0.003
Bx_cpl_3_5	pdb1u0u	0	nan
BxCYP33C9_3	pdb2kct	0	0
BxCYP33D3_4	pdb2m47	0	0.058
Bx_cpl_3_2	pdb5kp0	0	0
BxCYP33C9_2	pdb6pqm	0	0.435
Bx_cpl_1_1	pdb8s9c	0	nan
A0A1I7S161_BURXY	pdb2kt8	0	0
A0A7I8WZ01_BURXY	pdb2l5q	0	0
A0A1I7RIV0_BURXY	pdb2kd1	0	0.005
A0A1I7RL37_BURXY	pdb7mzx	1	0.538
Bx_tlp_1_3	pdb2n75	1	0.897
Bx_cpl_2_4	pdb2lio	0	0.237
Bx_Prx_3	pdb2l3f	1	0.524
I4N4Q3_9PSED	pdb6wlf	0	nan
Bx_cpl_2_4	pdb5kp0	0	0.174
Bx_cpl_2_1	pdb1qyc	0	nan
A0A1I7S9L6_BURXY	pdb7mzz	0	0
A0A7I8X2Z5_BURXY	pdb2m8x	0	0.001
I4N4Q3_9PSED	pdb8ftw	0	0.005
BxATG16_2	pdb2lio	0	0.005
SapB3_3	pdb2kzx	0	0.455
Bx_cpl_1_5	pdb6pqm	0	0.215
BxSapB1_3	pdb5zau	0	0.123
BxATG16_5	pdb2ltl	0	0
I0QT18_9GAMM	pdb2n69	0	0.008
BxPel1_2	2kcx	0	0.056
BxATG8_4	pdb2lek	0	0
SapB3_3	pdb2ma5	0	0.287
BxATG8_2	pdb2kpm	0	0.011
A0A7I8WZ01_BURXY	2kcx	0	0.001
BxSapB1_2	pdb6xr6	1	0.776
cyp_33C9_2	pdb6psi	0	nan
BxPel1_4	pdb2lfi	0	0.004
A0A1I7RL98_BURXY	pdb2kru	0	0
cyp_33C9_5	pdb2n3k	0	0.171
Bx_Prx_4	pdb2ljw	0	0.01
BxCYP33C4_2	pdb6tfb	0	nan
A0A1I7RJ71_BURXY	pdb2l08	0	0
BxPel1_3	pdb5uke	0	0.003
Bx_cpl_2_4	pdb3sdv	0	0.176
SapB3_4	pdb2lk2	0	0.003
BxSapB1_2	pdb2kvo	0	0.49
Bx_Prx_4	pdb4lej	0	0.008
A0A1I7S6H9_BURXY	pdb2kpn	0	0.075
cyp_33C9_1	pdb8ubh	1	0.943
Bx_cpl_1_4	pdb2kkq	0	0.006
I4N5T3_9PSED	pdb7lu8	0	0.109
BxSapB1_2	pdb2lw4	1	0.589
BxCYP33D3_4	pdb2ll8	0	0.061
Bx_cpl_2_4	pdb5uke	0	0.246
BxCYP33C9_1	pdb2kkq	0	0.243
I4N4M3_9PSED	pdb7jyz	0	0.005
A0A1I7SF60_BURXY	pdb2lso	0	0
I0QNP5_9GAMM	pdb2ll8	0	0.025
Bx_cpl_3_2	pdb2lgh	0	0
BxATG8_3	pdb3hbh	0	0.002
A0A1I7SF60_BURXY	pdb2lnb	0	0
A0A1I7SF60_BURXY	pdb2lo0	0	nan
BxSapB1_4	pdb6tfb	0	nan
BxSapB1_3	pdb7lu8	0	0.144
I4N0B6_9PSED	pdb6e4j	0	0.01
Bx_tlp_1_3	pdb2kwb	1	0.953
BxATG1_2	pdb2krt	0	0
BxATG8_5	pdb2l8v	0	0
BxPel1_3	pdb1qyc	0	nan
I0QNP5_9GAMM	pdb2mk2	0	0.085
A0A1I7SCF8_BURXY	pdb2ll8	1	0.951
I0QYP7_9GAMM	pdb6wlf	0	nan
A0A7I8X2Z5_BURXY	pdb2kt8	0	0.001
A0A1I7SF60_BURXY	pdb3s9v	0	nan
A0A1I7SCF8_BURXY	pdb5z55	1	0.921
I4N5X7_9PSED	pdb6o6w	0	0.002
I4MYK4_9PSED	pdb2nt1	0	nan
BxSapB1_4	pdb7sxb	0	0.076
cyp_33C9_1	pdb2n75	1	0.849
Bx_cpl_1_3	pdb2mm5	0	0
BxATG9_3	pdb2lnu	0	0.035
I4N4M3_9PSED	pdb7mzz	0	0.001
I0QMH2_9GAMM	2kcx	1	0.745
BxATG1_2	pdb2lok	0	0
SapB3_5	pdb2mv0	0	0.277
BxPel1_1	pdb2lnb	0	0
SapB3_3	pdb2n75	0	0.3
Bx_cpl_1_5	pdb2ltd	0	nan
I0QNA0_9GAMM	pdb2n66	0	0.009
Bx_cpl_1_1	pdb2m8x	0	0.008
A0A1I7RL98_BURXY	pdb2kl3	0	0
A0A1I7SCF8_BURXY	pdb2ma5	1	0.934
A0A1I7RYC6_BURXY	pdb2lgh	0	0.019
BxATG9_4	pdb2kl6	0	0.027
BxATG16_2	pdb2lnb	0	0.004
BxPel1_2	pdb7jyz	0	0.048
A0A7I8WZ01_BURXY	pdb2lak	0	0
BxATG16_3	pdb4lej	1	0.925
BxATG1_4	pdb6kna	0	0
BxPel1_4	pdb6lqz	0	0.002
BxCYP33C9_4	pdb2loy	0	0
BxCYP33C4_3	pdb2lq3	0	0.163
I4N5X7_9PSED	pdb2ma6	0	0.002
I0QYP7_9GAMM	pdb8c29	0	nan
Bx_cpl_3_4	pdb2ko1	0	nan
A0A1I7SCF8_BURXY	pdb7lu8	1	0.971
BxSapB1	pdb2ko1	0	nan
BxSapB1_2	pdb2n69	0	0.49
A0A1I7RL98_BURXY	pdb1xes	0	nan
Bx_cpl_3_1	pdb3hbh	0	0.23
SapB3_5	pdb2mbl	0	0.264
I0QM84_9GAMM	pdb2kl3	0	0.077
I0QNP5_9GAMM	pdb3sdr	0	0.037
A0A1I7RKV3_BURXY	pdb2ksh	0	0
BxCYP33C9_1	2kyq	1	0.622
Bx_cpl_1_5	pdb8ftw	0	0.3
BxATG16	pdb2n3k	1	0.96
BxATG8_1	pdb2kpm	0	0
A0A1I7SCF8_BURXY	pdb2kkq	1	0.941
BxATG8_1	pdb2n3k	0	0
A0A1I7RJ71_BURXY	pdb5z55	0	0
Bx_tlp_1_2	pdb2kct	0	0.033
A0A7I8X2Z5_BURXY	pdb2lo0	0	nan
Bx_cpl_1_2	pdb6iwj	0	nan
BxCYP33C4_1	pdb2kpm	0	0.124
A0A1I7S412_BURXY	pdb6prq	0	0
BxCYP33C9_4	pdb2nt0	0	nan
BxATG16_3	pdb2lze	1	0.944
Bx_tlp_1_1	pdb5uke	0	0.031
I4N4M3_9PSED	pdb8c29	0	nan
BxPel1_1	pdb2kz5	0	0
I4MYK4_9PSED	pdb2lfi	0	0.047
A0A7I8X2Z5_BURXY	pdb1u0u	0	nan
I0QWV1_9GAMM	pdb2m47	0	0.037
Bx_cpl_1_2	pdb4lej	0	0.009
Bx_Prx_3	pdb2ljl	0	0.399
BxATG8_5	pdb2kkq	0	0
A0A1I7RKM9_BURXY	pdb2lna	0	0.317
A0A1I7S412_BURXY	pdb6cgh	0	0
A0A1I7SCF8_BURXY	pdb2mry	1	0.938
A0A1I7S412_BURXY	pdb5nce	0	0
I4N4Q3_9PSED	pdb7knv	0	0.004
I0QM84_9GAMM	pdb2kzx	0	0.13
BxPel1_1	pdb5z55	0	0
Bx_Prx_4	pdb2l0a	0	0.01
BxATG1_3	pdb2llf	0	0.073
BxCYP33C9_5	pdb2kt8	0	0.08
BxATG8_4	pdb7mzx	0	0
A0A1I7RJ71_BURXY	pdb2kt8	0	0
I4N8B0_9PSED	pdb7lu8	0	0.043
A0A1I7RT14_BURXY	pdb5krw	0	0.001
A0A1I7RKV3_BURXY	pdb7n99	0	0
BxPel1_3	pdb6prq	0	0.004
Bx_tlp_1_3	7mzw	1	0.96
Bx_tlp_1_4	pdb2l0d	1	0.925
A0A1I7SCA3_BURXY	pdb2l0d	0	0
Bx_cpl_2_3	pdb2kim	0	0.198
BxPel1_5	pdb6wlf	0	nan
A0A1I7SF60_BURXY	pdb7m5t	0	0
BxATG16_1	pdb2lgh	0	0
A0A1I7RIV0_BURXY	pdb8c29	0	nan
I0QNP5_9GAMM	pdb2m16	0	0.069
Bx_Prx_5	pdb7lns	1	0.605
I0QNP5_9GAMM	pdb5vso	0	0.017
I0QMH2_9GAMM	pdb2lna	0	0.359
BxPel1_2	pdb2llf	0	0.013
BxCYP33C4_4	pdb2lw4	0	0.003
cyp_33C9_4	pdb1qyc	0	nan
I4N4Q3_9PSED	7mzw	0	0.005
BxATG16_1	pdb2kt7	0	0
A0A1I7RJ71_BURXY	pdb2mm5	0	0
I0QT18_9GAMM	pdb7qcb	0	0.017
A0A1I7RJ71_BURXY	pdb3sdq	0	0
I0QQT8_9GAMM	pdb7knv	0	0.016
BxCYP33C4_5	pdb7sxb	1	0.557
I4MYK4_9PSED	pdb6prp	0	0.052
BxCYP33D3_4	pdb6wlf	0	nan
A0A1I7SF60_BURXY	pdb6xry	0	0
BxCYP33C9_5	pdb5ks6	0	0.085
BxATG1_3	pdb2n69	0	0.053
BxSapB1	pdb2lak	1	0.963
SapB3_1	pdb5z55	0	0.019
I4N0B6_9PSED	pdb6e4h	0	nan
BxATG1_3	pdb6o6w	0	0.045
BxCYP33D3_5	pdb2nbn	0	0.192
Bx_cpl_2_2	pdb2l05	0	0.302
BxCYP33D3_2	pdb2l82	0	0
I4N4M3_9PSED	pdb2luz	0	0.001
cyp_33C9_3	pdb2lk2	0	0.256
BxATG9_3	pdb2mbm	0	0.015
cyp_33C9_2	pdb2lek	1	0.903
A0A1I7RIV0_BURXY	2kyq	0	0.013
Bx_Prx_1	pdb6nzl	0	0.063
BxCYP33D3_4	pdb2kw2	0	0.095
BxATG1_5	pdb1xet	0	nan
I4N8B0_9PSED	pdb2kim	0	0.022
BxATG9_4	pdb2l09	0	0.033
Bx_cpl_2_3	pdb2lna	0	0.217
BxCYP33C9_3	pdb8ubh	0	0
Bx_tlp_1_3	pdb6o6w	1	0.881
cyp_33C9_1	pdb2kt8	1	0.892
BxCYP33C4_2	pdb7knv	0	0.148
I4N5X7_9PSED	pdb2kw2	0	0.004
BxATG16_1	pdb3sdq	0	0
I4MYK4_9PSED	pdb2l09	0	0.041
A0A1I7RYC6_BURXY	pdb6kna	0	0.028
BxCYP33C4_5	pdb6pqe	1	0.707
Bx_tlp_1_3	pdb3sdv	1	0.901
A0A1I7SCF8_BURXY	pdb2n66	1	0.938
I0QYY0_9GAMM	pdb2lnb	1	0.858
I4MYK4_9PSED	pdb2ltd	0	nan
I4N8B0_9PSED	pdb2ljl	0	0.036
BxSapB1_3	pdb6nu4	0	0.06
A0A1I7SCA3_BURXY	7mzw	0	0
BxCYP33C4_4	pdb7mzz	0	0.003
I0QNP5_9GAMM	pdb2mm6	0	0.02
I4N0B6_9PSED	pdb6pq2	0	0.012
A0A1I7RL98_BURXY	pdb7lu8	0	0
I4N4M3_9PSED	pdb2lx7	0	0.001
Bx_cpl_3_4	pdb5kp0	1	0.88
I0QNP5_9GAMM	pdb7n99	0	0.033
BxCYP33C4_4	pdb2nt1	0	nan
Bx_Prx_1	pdb2mh2	0	0.155
BxCYP33C4_3	pdb2l3a	0	nan
A0A1I7S6H9_BURXY	pdb2lok	0	0.109
BxSapB1_2	pdb2lcg	1	0.678
BxCYP33C4_3	pdb2nbn	0	0.153
BxCYP33D3_5	pdb6pqm	0	0.281
BxATG9_3	pdb5vso	0	0.014
BxCYP33C4_1	pdb2lio	0	0.168
Bx_tlp_1_2	pdb3hbh	0	0.037
A0A1I7S9L6_BURXY	pdb6xr7	0	0
A0A1I7S9L6_BURXY	pdb2lio	0	0
BxSapB1_4	pdb2lv2	0	0.109
A0A1I7RL98_BURXY	pdb2llf	0	0
BxCYP33D3_1	pdb2kru	0	0.013
Bx_cpl_3_2	pdb4lej	0	0
Bx_cpl_1_1	pdb4lej	0	0.009
A0A1I7S5S3_BURXY	pdb4lej	0	0.004
Bx_Prx_5	pdb3hbh	0	0.45
BxATG8_3	pdb2n76	0	0.002
Bx_cpl_3_3	pdb6lqz	1	0.835
A0A1I7S5S3_BURXY	pdb7y55	0	nan
BxCYP33C4_3	pdb5vso	0	0.132
Bx_Prx_4	pdb2llf	0	0.011
BxATG9_1	pdb5nce	0	0
BxCYP33C9_2	pdb2ltd	0	nan
Bx_tlp_1_2	pdb7y55	0	nan
BxATG8_1	pdb1u0u	0	nan
A0A1I7S161_BURXY	pdb2mm5	0	0
I4N8B0_9PSED	pdb2llf	0	0.028
A0A7I8WZ01_BURXY	pdb8c29	0	nan
BxCYP33D3_3	7mzw	1	0.803
I0QYP7_9GAMM	pdb6jxu	0	0.006
A0A1I7S6H9_BURXY	pdb2kru	0	0.135
BxATG16	pdb2lk2	1	0.969
Bx_cpl_2_5	pdb3hbd	0	0.262
BxPel1_3	pdb2mm5	0	0.002
BxCYP33C9_2	pdb2m8x	0	0.308
BxATG16	2kcx	1	0.994
Bx_Prx_2	pdb2l09	0	0.019
BxCYP33C9_5	pdb5krw	0	0.056
BxCYP33C4_5	pdb2n3k	1	0.567
BxATG9_1	pdb6xry	0	0
A0A7I8X2Z5_BURXY	pdb7jyn	0	0.006
BxATG16_5	pdb2mv0	0	0
I4N5T3_9PSED	pdb2mm5	0	0.043
I0QNP5_9GAMM	pdb7c1m	0	nan
BxATG1_3	pdb6tfb	0	nan
Bx_cpl_3_3	pdb6tfb	0	nan
Bx_cpl_1_1	pdb6jxw	0	0.012
I0QYP7_9GAMM	pdb2mh2	0	0.01
Bx_cpl_2_3	pdb2ksi	0	0.382
I4N8B0_9PSED	pdb3hbe	0	0.02
Bx_tlp_1_2	pdb2kl6	0	0.034
Bx_cpl_3_4	pdb2lek	1	0.915
I4N8B0_9PSED	pdb2lnz	0	nan
BxATG16	pdb1u0u	0	nan
BxCYP33C4_4	2kl7	0	0.009
I0QT18_9GAMM	pdb2kzw	0	0.008
I4MYK4_9PSED	pdb7sxb	0	0.03
BxATG8_4	pdb2nt0	0	nan
A0A1I7RL98_BURXY	pdb2ko1	0	nan
I0QMH2_9GAMM	pdb6pqe	0	0.456
BxCYP33C4_5	pdb6pri	1	0.666
BxATG8_4	pdb7qcc	0	0
I0QYY0_9GAMM	pdb2lnz	0	nan
Bx_Prx_4	pdb2mh2	0	0.018
Bx_tlp_1_5	pdb2lch	1	0.937
A0A7I8X2Z5_BURXY	pdb2kt7	0	0.002
BxATG8_4	pdb1xes	0	nan
BxCYP33D3_4	pdb2ma6	0	0.045
Bx_cpl_1_4	6dxa	0	nan
I0QQT8_9GAMM	pdb2nt0	0	nan
BxCYP33C4_5	pdb2l09	1	0.634
BxATG8_1	pdb7knv	0	0.001
BxATG8_5	pdb7x5c	0	0
I0QMH2_9GAMM	pdb2llf	0	0.389
A0A1I7RJ71_BURXY	pdb2lmd	0	0
BxPel1_4	pdb2ksi	0	0.008
BxSapB1_2	pdb2l09	1	0.56
BxCYP33C4_3	pdb7n99	0	0.234
I4N5X7_9PSED	pdb2kw6	0	0.002
A0A1I7S9L6_BURXY	pdb7wcg	0	0
Bx_tlp_1_2	pdb2nsx	0	nan
BxATG9_5	pdb7jyn	1	0.681
cyp_33C9_1	pdb2kpn	1	0.891
BxATG9_2	pdb6xry	0	0.441
A0A1I7S412_BURXY	pdb1xes	0	nan
I4N4Q3_9PSED	pdb5kp0	0	0.002
Bx_tlp_1_3	pdb2kzx	1	0.944
cyp_33C9_2	pdb5vso	1	0.838
Bx_cpl_3_5	pdb7kix	0	0.158
BxATG9_3	pdb7kix	0	0.045
BxPel1_2	pdb2mm5	0	0.007
I4N4Q3_9PSED	pdb2lso	0	0.002
BxATG8_2	pdb2lw4	0	0.015
BxCYP33C9_1	pdb5uke	0	0.324
A0A1I7RKM9_BURXY	pdb2lni	0	0.451
BxCYP33D3_3	pdb2mv0	1	0.592
BxATG1_1	6dxa	0	nan
SapB3_5	pdb7x5c	0	0.269
I0QYY0_9GAMM	pdb7knv	1	0.915
A0A1I7RIV0_BURXY	pdb3sdu	0	0.005
BxATG16_2	pdb2lw4	0	0.005
cyp_33C9_2	pdb1xet	0	nan
BxCYP33C4_3	pdb7c1m	0	nan
BxCYP33C9_2	pdb3hbe	0	0.321
Bx_tlp_1_5	pdb2n75	1	0.904
A0A1I7RT14_BURXY	pdb2lk2	0	0.002
A0A1I7S161_BURXY	pdb2kt1	0	0
I4N8B0_9PSED	pdb2l82	0	0.028
Bx_cpl_1_2	pdb2lq3	0	0.009
I0QYP7_9GAMM	pdb2l8v	0	0.009
BxATG1_5	pdb7mzx	0	0.173
Bx_tlp_1_2	pdb2lch	0	0.049
Bx_tlp_1_3	pdb2lv2	1	0.925
SapB3_3	pdb2lcg	0	0.485
BxCYP33C4_3	pdb2lek	0	0.215
Bx_cpl_2_1	pdb2ma6	0	0.029
Bx_cpl_3_3	pdb3sdu	1	0.919
Bx_Prx_5	pdb2lfi	1	0.515
A0A1I7S6H9_BURXY	pdb2mv0	0	0.053
I4N4Q3_9PSED	pdb6pqe	0	0.003
Bx_Prx_1	pdb2lek	0	0.108
Bx_cpl_2_4	pdb2n3k	0	0.17
Bx_Prx_1	pdb7qcb	0	0.14
cyp_33C9_1	pdb2lgh	1	0.895
BxSapB1_2	pdb6nzl	0	0.449
A0A1I7S5S3_BURXY	pdb7knv	0	0.008
A0A1I7RJ71_BURXY	pdb2lk2	0	0
BxSapB1_3	pdb2m1l	0	nan
BxPel1_2	pdb2lio	0	0.014
BxATG9_2	pdb2ltd	0	nan
BxATG8_5	pdb2lk2	0	0
BxCYP33C9_3	pdb2l9q	0	0
BxATG8_2	pdb2lna	0	0.012
BxATG16_3	pdb7n99	1	0.951
BxCYP33C9_4	pdb2n3j	0	nan
BxSapB1_2	pdb6pq2	1	0.621
I0QT18_9GAMM	pdb2lw4	0	0.012
Bx_cpl_2_4	pdb2mry	0	0.17
A0A1I7RKV3_BURXY	pdb2kt7	0	0
Bx_cpl_3_5	pdb2l09	0	0.081
I4N5X7_9PSED	pdb2kzx	0	0.004
BxATG9_5	pdb2kpm	0	0.282
Bx_tlp_1_5	pdb2n3j	0	nan
cyp_33C9_2	pdb6pri	1	0.904
I4N8B0_9PSED	pdb2kkq	0	0.021
Bx_cpl_2_4	pdb6iwj	0	nan
A0A1I7SF60_BURXY	pdb2kwb	0	0
cyp_33C9_3	pdb2lni	0	0.368
cyp_33C9_4	pdb2kpn	0	0.205
cyp_33C9_4	pdb2lnz	0	nan
BxATG16_5	pdb2kzv	0	0
I4N5X7_9PSED	pdb4lej	0	0.002
BxCYP33D3_1	pdb2lv2	0	0.007
Bx_Prx_2	pdb5ks6	0	0.023
Bx_Prx_1	pdb2lnu	0	0.149
BxCYP33C9_3	pdb2kif	0	0
I0QQT8_9GAMM	pdb2lni	0	0.016
cyp_33C9_1	pdb8s9c	0	nan
BxATG9_1	pdb2m1l	0	nan
BxCYP33C9_1	pdb2m16	1	0.522
BxATG9_5	pdb2kl6	0	0.282
BxATG8_5	pdb2lio	0	0
cyp_33C9_2	pdb5uke	1	0.908
Bx_cpl_3_1	pdb2ltl	0	0.256
Bx_cpl_3_4	pdb2ljw	1	0.902
I0QM84_9GAMM	pdb6kna	0	0.15
BxCYP33D3_3	pdb2lze	1	0.683
BxSapB1_2	pdb6amv	1	0.641
I0QWV1_9GAMM	pdb2ma5	0	0.029
BxATG1_5	pdb2ljw	0	0.109
I0QM84_9GAMM	pdb2nt0	0	nan
A0A1I7SCF8_BURXY	2kl7	1	0.986
Bx_cpl_1_5	pdb2l9p	0	0.239
Bx_cpl_1_1	pdb6pqe	0	0.016
Bx_tlp_1_2	pdb2ko1	0	nan
A0A1I7RL98_BURXY	pdb2ljw	0	0
BxPel1_5	pdb2nt0	0	nan
I4N4Q3_9PSED	pdb6pri	0	0.003
I0QNA0_9GAMM	pdb6xrg	0	0.046
SapB3_5	pdb2kct	0	0.287
BxCYP33C9_1	pdb4lej	0	0.246
SapB3_2	pdb2l7q	0	0.052
BxCYP33D3_2	pdb2kt1	0	0
A0A060N411_BURMU	pdb7m5t	0	0.002
A0A1I7S5S3_BURXY	pdb2n3k	0	0.003
Bx_cpl_1_3	pdb5kp0	0	0
I0QT18_9GAMM	pdb2mm5	0	0.007
BxSapB1_5	pdb8s9c	0	nan
Bx_tlp_1_4	pdb6amv	1	0.945
BxSapB1_5	pdb2kd1	0	0.143
Bx_Prx_4	pdb2kzw	0	0.008
BxATG16_2	pdb6pq2	0	0.005
Bx_cpl_2_4	pdb1u0u	0	nan
BxATG9_5	pdb6o6w	0	0.239
I4N0B6_9PSED	2kyq	0	0.038
A0A1I7SCF8_BURXY	pdb3sdq	1	0.967
I0QYP7_9GAMM	pdb5vso	0	0.004
A0A1I7S6H9_BURXY	pdb3hbd	0	0.053
Bx_tlp_1_3	pdb6wlf	0	nan
BxCYP33D3_2	pdb3sdt	0	0
Bx_cpl_1_4	pdb2n75	0	0.006
cyp_33C9_4	pdb1u0u	0	nan
BxATG16_1	pdb7lns	0	0
Bx_cpl_1_4	pdb2n69	0	0.006
I0QMH2_9GAMM	pdb5vso	0	0.277
BxATG8_1	pdb5kp0	0	0
Bx_cpl_1_3	pdb2mry	0	0
BxATG9_1	pdb2kd1	0	0
BxSapB1_5	pdb2lw4	0	0.106
Bx_Prx_3	pdb2l9q	0	0.485
BxCYP33C4_2	pdb7kix	0	0.183
Bx_cpl_3_3	pdb2kkq	1	0.863
A0A1I7RIV0_BURXY	pdb2kvo	0	0.002
BxATG8_1	pdb6wlf	0	nan
A0A1I7S9L6_BURXY	pdb6pri	0	0
BxCYP33C4_2	pdb6kna	0	0.152
Bx_tlp_1_1	pdb2l0d	0	0.025
A0A1I7SF60_BURXY	pdb1u0u	0	nan
A0A1I7RL37_BURXY	pdb1qyc	0	nan
A0A1I7RJ71_BURXY	pdb2l82	0	0
BxATG1_1	pdb6nu4	0	0.002
BxSapB1_3	pdb2kd1	0	0.137
A0A1I7SCA3_BURXY	pdb5uke	0	0
A0A1I7S412_BURXY	pdb5kp0	0	0
BxATG9_2	pdb2lgh	0	0.179
I0QQT8_9GAMM	pdb6xr6	0	0.026
Bx_cpl_2_4	pdb6pqm	0	0.251
Bx_cpl_2_4	pdb2ljl	0	0.27
A0A1I7S412_BURXY	pdb3sdv	0	0
A0A1I7RYC6_BURXY	pdb2l0d	0	0.017
Bx_Prx_4	pdb2ljl	0	0.014
I4N8B0_9PSED	pdb6ppt	0	0.017
BxCYP33C9_2	pdb6e4h	0	nan
BxCYP33D3_2	pdb2l05	0	0
I0QT18_9GAMM	pdb3sdt	0	0.016
Bx_cpl_1_3	pdb7m5t	0	0.001
BxATG8_3	pdb2nt1	0	nan
I0QMH2_9GAMM	pdb2lni	0	0.496
A0A7I8X2Z5_BURXY	pdb3hbe	0	0.001
SapB3_5	pdb2mm5	0	0.236
Bx_cpl_1_1	pdb6nzl	0	0.007
I0QM84_9GAMM	2kcx	0	0.341
Bx_tlp_1_3	pdb2m16	1	0.97
I4N4M3_9PSED	pdb1xet	0	nan
SapB3_5	pdb8ubh	1	0.535
Bx_cpl_3_2	pdb2lso	0	0
Bx_cpl_3_4	pdb6xr7	1	0.975
Bx_cpl_1_3	pdb2ko1	0	nan
BxATG16_5	pdb2kpn	0	0
Bx_cpl_3_4	pdb2kru	1	0.952
BxATG9_5	pdb2mry	0	0.271
A0A1I7SCA3_BURXY	pdb2lek	0	0
I0QWV1_9GAMM	7mzw	0	0.08
BxPel1_2	pdb2l9p	0	0.017
I4N4Q3_9PSED	pdb6prq	0	0.003
BxATG1_4	pdb3sdr	0	0
A0A1I7SF60_BURXY	pdb7jyz	0	0
Bx_Prx_5	pdb6psi	0	nan
Bx_cpl_3_5	pdb8c29	0	nan
BxATG8_3	pdb8ftx	0	0.004
A0A7I8X2Z5_BURXY	pdb6psi	0	nan
Bx_tlp_1_1	pdb2l9q	0	0.048
I0QT18_9GAMM	2lla	0	0.026
I0QMH2_9GAMM	pdb6j4i	0	0.394
BxATG9_5	2kl7	1	0.632
BxPel1_3	pdb2lxu	0	0.003
Bx_cpl_3_3	pdb2ko1	0	nan
I0QT18_9GAMM	pdb7lns	0	0.018
A0A1I7RL98_BURXY	pdb2lnu	0	0
Bx_Prx_2	pdb3sdq	0	0.028
BxSapB1_2	pdb2kl6	1	0.504
BxCYP33C9_5	pdb2lnz	0	nan
A0A7I8X2Z5_BURXY	pdb7sxb	0	0.001
BxCYP33D3_5	pdb2m16	0	0.47
Bx_cpl_1_1	pdb2lq3	0	0.009
BxPel1_1	pdb3sae	0	0
BxCYP33C9_5	pdb3hbe	0	0.056
I4N5X7_9PSED	pdb2lk2	0	0.003
BxPel1_4	pdb2lio	0	0.004
I4MYK4_9PSED	pdb5zau	0	0.056
cyp_33C9_4	pdb7c1m	0	nan
Bx_Prx_4	pdb6pri	0	0.012
A0A1I7RL98_BURXY	pdb2krt	0	0
Bx_cpl_3_3	pdb7kix	1	0.943
Bx_cpl_1_2	pdb7y55	0	nan
I4N4Q3_9PSED	pdb3sae	0	0.003
BxATG1_5	pdb2n3j	0	nan
Bx_cpl_3_2	pdb6e4h	0	nan
I4N5X7_9PSED	pdb2m16	0	0.007
BxCYP33C4_4	pdb2kt7	0	0.003
Bx_cpl_2_4	pdb1xes	0	nan
A0A1I7RJ71_BURXY	pdb2n76	0	0
Bx_Prx_1	pdb6amw	0	0.129
Bx_tlp_1_1	pdb2kzx	0	0.036
A0A060N411_BURMU	pdb7kix	0	0.002
A0A1I7S412_BURXY	pdb2m16	0	0
BxPel1_3	pdb8s9c	0	nan
Bx_cpl_1_2	pdb2l3a	0	nan
cyp_33C9_2	pdb2kpt	1	0.899
BxSapB1_3	pdb2kzw	0	0.069
I4MYK4_9PSED	pdb7n99	0	0.052
Bx_cpl_2_2	pdb5uke	0	0.227
Bx_cpl_3_3	pdb2nbn	1	0.856
cyp_33C9_1	pdb2nsx	0	nan
BxCYP33C4_3	pdb2m01	0	0.211
A0A1I7RJ71_BURXY	pdb2lq3	0	0
